0.623423, -0.191083, -0.0952558
-0.528257, -0.0557017, 0.301986
0.685293, -0.147871, -0.167929
-0.630912, 0.00685064, 0.286061
0.735661, -0.125745, -0.213821
-0.703938, 0.0434821, 0.282732
0.45593, -0.0367663, -0.174373
-0.469526, 0.0720222, 0.144839
0.471791, -0.0778977, -0.139917
-0.453664, 0.0308909, 0.179294
0.501248, -0.154283, -0.0759294
-0.424208, -0.0454948, 0.243282
0.407484, -0.165699, -0.0207732
-0.312317, -0.0810857, 0.227503
0.294545, -0.101938, -0.0331509
-0.240164, -0.0390824, 0.151283
0.221518, -0.0653066, -0.0364806
-0.189796, -0.0169561, 0.105391
0.173071, -0.194239, 0.117119
-0.0325862, -0.170064, 0.188055
0.255334, -0.203909, 0.0887449
-0.114849, -0.160394, 0.21643
0.389011, -0.219623, 0.0426363
-0.248527, -0.14468, 0.262538
0.455067, -0.289092, 0.0825925
-0.264734, -0.204479, 0.330869
0.380648, -0.32522, 0.153891
-0.15406, -0.262365, 0.338325
0.332546, -0.353223, 0.204705
-0.0787679, -0.304872, 0.346577
0.612276, -0.4422, 0.165257
-0.31318, -0.333412, 0.484469
0.594149, -0.395194, 0.12588
-0.331307, -0.286405, 0.445091
0.566958, -0.324683, 0.0668136
-0.358497, -0.215895, 0.386025
0.671007, -0.314476, 0.00810995
-0.480673, -0.179095, 0.405352
0.771397, -0.371153, 0.0191128
-0.544809, -0.216432, 0.473103
0.846689, -0.413661, 0.027365
-0.592911, -0.244434, 0.523917
0.892871, -0.278853, -0.131157
-0.752386, -0.0854507, 0.436331
0.810608, -0.269183, -0.102782
-0.670123, -0.0951208, 0.407957
0.687214, -0.254677, -0.0602207
-0.546729, -0.109626, 0.365395
0.697496, -0.255886, -0.0637673
-0.557011, -0.108417, 0.368942
0.683555, -0.321561, 0.00948587
-0.488689, -0.183762, 0.413821
0.57149, -0.336435, 0.076658
-0.353966, -0.227646, 0.39587
0.44705, -0.29376, 0.0910621
-0.252184, -0.211564, 0.332245
0.368444, -0.217206, 0.0497303
-0.22796, -0.147098, 0.255444
0.394935, -0.158615, -0.022148
-0.304299, -0.076419, 0.219034
0.53297, -0.236546, -0.00701848
-0.392485, -0.127757, 0.312193
0.496716, -0.142532, -0.0857731
-0.428739, -0.0337439, 0.233439
0.63144, -0.186416, -0.103724
-0.540804, -0.0486176, 0.300611
0.124623, -0.323172, 0.270719
0.101964, -0.264413, 0.221497
-0.197132, 0.511199, -0.428228
-0.0929009, 0.240909, -0.201808
-0.0543811, 0.14102, -0.118132
-0.224322, 0.581709, -0.487294
0.117826, -0.305544, 0.255952
0.165409, -0.428937, 0.359318
0.260576, -0.675723, 0.566049
0.163143, -0.423061, 0.354396
0.0203928, -0.0528823, 0.0442991
-0.111028, 0.287916, -0.241186
0.212973, 0.109593, -0.210349
-0.321735, 0.172448, -0.0259151
0.284425, 0.280697, -0.417513
-0.538203, 0.377398, -0.133769
0.261065, 0.468556, -0.597678
-0.664391, 0.577344, -0.278466
0.224985, 0.613035, -0.727826
-0.741605, 0.726659, -0.394427
0.157709, 0.660209, -0.744547
-0.706051, 0.761745, -0.446616
-0.0444626, 0.700804, -0.691925
-0.517475, 0.756407, -0.528771
-0.285501, 0.740357, -0.620192
0.535054, 0.0380746, -0.28722
-0.616626, 0.173456, 0.110022
0.821581, -0.0685309, -0.311901
-0.84424, 0.127289, 0.26268
1.13303, -0.23977, -0.282439
-1.04693, 0.0164874, 0.469482
1.25574, -0.456136, -0.119429
-1.00649, -0.190208, 0.660867
1.07622, -0.4743, -0.0175851
-0.795256, -0.254305, 0.627933
0.822293, -0.528592, 0.155557
-0.473348, -0.376288, 0.602455
0.641386, -0.619516, 0.332031
-0.201806, -0.520398, 0.622868
0.414118, -0.564753, 0.381903
0.00280375, -0.516403, 0.523775
0.225013, -0.379849, 0.281722
0.0604876, -0.360509, 0.338471
0.336031, -0.336804, 0.186392
-0.0958478, -0.286036, 0.335357
0.252895, -0.248499, 0.135216
-0.0761563, -0.209818, 0.248713
0.294545, -0.101938, -0.0331509
-0.240164, -0.0390824, 0.151283
0.498109, -0.0697723, -0.160402
-0.489045, 0.0462689, 0.180091
0.665947, -0.123159, -0.184071
-0.629693, 0.0291453, 0.262826
0.877009, -0.237721, -0.165612
-0.768247, -0.0443193, 0.401876
0.929297, -0.322401, -0.103796
-0.757091, -0.124164, 0.47788
0.900541, -0.375115, -0.0368397
-0.683017, -0.188966, 0.509367
0.692447, -0.39553, 0.0805668
-0.438668, -0.262566, 0.470715
0.465004, -0.391231, 0.181832
-0.193099, -0.313871, 0.408827
-0.222056, 0.575833, -0.482372
-0.0645009, 0.523655, -0.502494
-0.352421, 0.557501, -0.403184
